V	$\mathrm{G}_{d1}$	$\mathrm{G}_{d2}$	
28	N/A	N/A
28.5	N/A	N/A
29	N/A	N/A
29.5	4.51121$\pm$0.0235021	4.59741$\pm$0.0267651
30	6.61909$\pm$0.015304	6.79338$\pm$0.0162625
30.5	8.56236$\pm$0.0158711	8.90539$\pm$0.0145324
31	10.7343$\pm$0.0165391	11.0397$\pm$0.0155156
31.5	12.7136$\pm$0.023118	13.1796$\pm$0.0238606
32	14.9924$\pm$0.0382614	15.3993$\pm$0.0503293
32.5	17.1606$\pm$0.0689336	17.7665$\pm$0.0658799
33	19.5492$\pm$0.0844646	20.2909$\pm$0.0846779
33.5	21.2891$\pm$0.129236	22.0175$\pm$0.126462
34	23.4679$\pm$0.19212	N/A
