V	$\mathrm{G}_{d1}$	$\mathrm{G}_{d2}$	
29	N/A	N/A
29.5	3.92779$\pm$0.033323	3.95801$\pm$0.0279446
30	6.02135$\pm$0.0177758	5.88447$\pm$0.0152532
30.5	7.90844$\pm$0.0166325	7.83575$\pm$0.0163162
31	9.97222$\pm$0.0188793	9.80978$\pm$0.0176941
31.5	12.0082$\pm$0.0241617	11.9129$\pm$0.0232393
32	13.9706$\pm$0.0329876	13.9805$\pm$0.0326401
32.5	16.2729$\pm$0.0632713	16.3461$\pm$0.0643761
33	18.2196$\pm$0.0936024	18.3147$\pm$0.0920656
33.5	20.1887$\pm$0.12858	20.1921$\pm$0.119751
34	22.3174$\pm$0.171618	22.8141$\pm$0.135506
